id,date,barangay,crime_type,crime_count,latitude,longitude,month_year,year,month
2991,2020-01-07,"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",Illegal Drugs,2,7.053776683572337,125.68407086983817,2020-01,2020,1
544,2020-01-08,WINES,Cyberbullying,4,7.201510205321757,125.48498532104776,2020-01,2020,1
396,2020-01-08,BARANGAY 28-C,Online Scam,4,7.279227197681069,125.65264961299512,2020-01,2020,1
25,2020-01-09,40-D BOLTON ISLA,Robbery,3,7.136820995265111,125.60192763927336,2020-01,2020,1
3668,2020-01-09,LACSON,Online Scam,3,7.048203875413553,125.60784035958898,2020-01,2020,1
2838,2020-01-09,"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",Carnapping,4,7.013473389698685,125.58573642001402,2020-01,2020,1
3825,2020-01-09,"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",Assault,1,7.062717812112054,125.53549169865566,2020-01,2020,1
2577,2020-01-10,BARANGAY 3-A (POB.),Carnapping,5,7.293694334552442,125.67601144923272,2020-01,2020,1
1712,2020-01-10,TALOMO RIVER,Cyberbullying,5,7.0184048881332,125.69049808802978,2020-01,2020,1
3064,2020-01-10,76-A (BUCANA),Physical Injury,5,7.18709463348708,125.6335547640185,2020-01,2020,1
3476,2020-01-10,76-A (BUCANA),Illegal Drugs,5,7.24084328044735,125.5491501842153,2020-01,2020,1
1643,2020-01-11,CAWAYAN,Theft,5,7.156287393181612,125.4980216671706,2020-01,2020,1
419,2020-01-12,SIRIB,Vandalism,3,7.201755536823112,125.50061148186523,2020-01,2020,1
3190,2020-01-13,BARANGAY 28-C,Phishing,3,7.236787854495906,125.58152137603132,2020-01,2020,1
1272,2020-01-13,ALAMBRE,Homicide,3,7.258036719156761,125.43872137407926,2020-01,2020,1
2571,2020-01-14,TIGATTO,Carnapping,1,7.12153080835827,125.56863326478695,2020-01,2020,1
717,2020-01-14,SALAPAWAN,Homicide,5,7.249185822336319,125.5788150347283,2020-01,2020,1
3807,2020-01-14,COMMUNAL,Assault,2,7.129370160937468,125.615837990301,2020-01,2020,1
987,2020-01-15,BARANGAY 13-B,Assault,1,7.206520718928321,125.61843493120084,2020-01,2020,1
3741,2020-01-15,BAGANIHAN,Phishing,4,7.271307932498157,125.58112654315129,2020-01,2020,1
683,2020-01-16,SIRIB,Carnapping,4,7.05126627621702,125.68261746584658,2020-01,2020,1
667,2020-01-16,BARANGAY 27-C,Phishing,5,7.073787318515352,125.43162041321897,2020-01,2020,1
574,2020-01-16,"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",Identity Theft,5,7.186626010068362,125.62741212630335,2020-01,2020,1
839,2020-01-17,"WAAN (BRGY UNDER ps 13, DCPO)",Assault,1,7.1741765050834125,125.41194343183372,2020-01,2020,1
3860,2020-01-17,MALABOG,Robbery,4,7.250093203142551,125.45900656746936,2020-01,2020,1
1202,2020-01-17,"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",Illegal Drugs,2,7.007376074937641,125.6948840638664,2020-01,2020,1
478,2020-01-18,"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",Homicide,2,7.166156285320396,125.50734337480068,2020-01,2020,1
3468,2020-01-18,MABUHAY,Cyberbullying,2,7.200328177480945,125.59523649625407,2020-01,2020,1
2505,2020-01-19,"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",Murder,2,7.060142354658521,125.4254298463279,2020-01,2020,1
2654,2020-01-19,MABUHAY,Illegal Drugs,5,7.015706506056242,125.45349945372848,2020-01,2020,1
2416,2020-01-19,"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",Hacking,2,7.28920522213531,125.52743825439944,2020-01,2020,1
2365,2020-01-20,BARANGAY 32-D,Physical Injury,3,7.173159966020365,125.53663967160192,2020-01,2020,1
2964,2020-01-20,"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",Robbery,5,7.293557640516742,125.59263307050766,2020-01,2020,1
3901,2020-01-20,MULIG,Murder,5,7.129390511902304,125.57310612050718,2020-01,2020,1
2345,2020-01-21,TAMAYONG,Phishing,2,7.282517713485677,125.5253125700919,2020-01,2020,1
3707,2020-01-21,RIVERSIDE,Theft,3,7.221720092781812,125.56625437663465,2020-01,2020,1
2959,2020-01-21,BAGUIO PROPER,Robbery,4,7.0822214768026575,125.61078887293138,2020-01,2020,1
3911,2020-01-21,BARANGAY 26-C,Cyber Fraud,1,7.011780824272496,125.66419517323938,2020-01,2020,1
359,2020-01-22,"WAAN (BRGY UNDER ps 13, DCPO)",Illegal Drugs,4,7.282069072427487,125.57148229484488,2020-01,2020,1
3317,2020-01-22,SUAWAN (TULI),Physical Injury,1,7.145196810453924,125.41178758354522,2020-01,2020,1
3287,2020-01-22,BARANGAY 5-A (POB.),Murder,4,7.11634782697508,125.56346450580882,2020-01,2020,1
3491,2020-01-22,"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",Illegal Drugs,2,7.025369613429171,125.43280677093284,2020-01,2020,1
3810,2020-01-23,MAGSAYSAY,Theft,2,7.015829577357881,125.40627285370056,2020-01,2020,1
3470,2020-01-23,BAO JOAQUIN,Physical Injury,2,7.050918528573077,125.50024290671516,2020-01,2020,1
208,2020-01-23,BUDA,Cyberbullying,1,7.199050530732417,125.56241232627224,2020-01,2020,1
3062,2020-01-23,"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",Homicide,5,7.027620095824743,125.55606914673092,2020-01,2020,1
806,2020-01-24,"INDANGAN (BRGY UNDER PS 13, DCPO)",Vandalism,5,7.220933270687417,125.56338926133216,2020-01,2020,1
3374,2020-01-24,FATIMA (BENOWANG),Online Scam,1,7.1985906834381606,125.5812521814518,2020-01,2020,1
3527,2020-01-24,"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",Homicide,5,7.291923039373689,125.57561262683728,2020-01,2020,1
3345,2020-01-24,PAMPANGA,Vandalism,3,7.142176366034831,125.55377286477729,2020-01,2020,1
3435,2020-01-25,CABANTIAN,Homicide,1,7.212219100009878,125.40691412652198,2020-01,2020,1
3715,2020-01-25,BARANGAY 37-D,Cyber Fraud,1,7.29703265382606,125.42171291795825,2020-01,2020,1
3007,2020-01-27,WANGAN,Robbery,5,7.271826118144378,125.56006633006608,2020-01,2020,1
40,2020-01-28,GUMITAN,Illegal Drugs,3,7.132045748121881,125.57334211507532,2020-01,2020,1
1837,2020-01-28,SAN ISIDRO,Identity Theft,5,7.03842872390986,125.66597863245072,2020-01,2020,1
2344,2020-01-29,BARANGAY 26-C,Illegal Drugs,4,7.106431387550796,125.64735512093998,2020-01,2020,1
625,2020-01-29,TUGBOK (POB.),Murder,2,7.185476431459088,125.68350721937418,2020-01,2020,1
108,2020-01-30,TALOMO RIVER,Physical Injury,1,7.226665341562914,125.41512503208068,2020-01,2020,1
3053,2020-01-31,TAMUGAN,Physical Injury,5,7.0805601268202825,125.67896114468816,2020-01,2020,1
1946,2020-01-31,TIGATTO,Identity Theft,5,7.155180716932483,125.50247111610948,2020-01,2020,1
142,2020-01-31,CARMEN,Homicide,4,7.075534688747609,125.44037288013124,2020-01,2020,1
1973,2020-02-01,ULAS,Theft,4,7.081921242991844,125.6415357626264,2020-02,2020,2
820,2020-02-02,"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",Cyber Fraud,1,7.10055917249377,125.45976590575113,2020-02,2020,2
1740,2020-02-02,PAQUIBATO (POB.),Illegal Drugs,1,7.124238925758678,125.53667003459704,2020-02,2020,2
1925,2020-02-02,BARANGAY 27-C,Identity Theft,4,7.238259199383125,125.47363633876168,2020-02,2020,2
653,2020-02-03,"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",Cyber Fraud,3,7.176052335406264,125.54264271456982,2020-02,2020,2
1286,2020-02-05,"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",Hacking,4,7.155313493015413,125.61290140305135,2020-02,2020,2
802,2020-02-05,SALOY,Cyber Fraud,4,7.045761712874278,125.42116069127788,2020-02,2020,2
2044,2020-02-06,"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",Assault,4,7.034430661560765,125.44825808804552,2020-02,2020,2
2769,2020-02-07,"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",Theft,4,7.150181071346412,125.66438926368424,2020-02,2020,2
3885,2020-02-07,"WAAN (BRGY UNDER ps 13, DCPO)",Identity Theft,2,7.265854531638803,125.43139819017236,2020-02,2020,2
1741,2020-02-08,BAGO OSHIRO,Cyber Fraud,5,7.248261368670062,125.66729216540722,2020-02,2020,2
93,2020-02-08,"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",Assault,1,7.228235514585069,125.54355851097586,2020-02,2020,2
1309,2020-02-08,MAGSAYSAY,Murder,3,7.101835057762842,125.66622736061112,2020-02,2020,2
1525,2020-02-08,"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",Theft,5,7.145761527755898,125.55861219596522,2020-02,2020,2
797,2020-02-08,WINES,Illegal Drugs,5,7.279635484745084,125.44928605298172,2020-02,2020,2
1719,2020-02-09,"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",Murder,5,7.295103677579024,125.4279052227788,2020-02,2020,2
3608,2020-02-09,MAPI-ILA,Carnapping,3,7.085712270298267,125.58743861961564,2020-02,2020,2
2386,2020-02-10,MARILOG,Identity Theft,4,7.174659623978234,125.58855117002508,2020-02,2020,2
3484,2020-02-10,BAGO OSHIRO,Online Scam,4,7.276392253663892,125.54889683138532,2020-02,2020,2
2690,2020-02-10,ULAS,Carnapping,3,7.12128692417646,125.42182087853315,2020-02,2020,2
1316,2020-02-11,BAGANIHAN,Theft,1,7.193073308558957,125.5358474415853,2020-02,2020,2
1203,2020-02-11,FATIMA (BENOWANG),Assault,5,7.006637065458699,125.592833224044,2020-02,2020,2
3738,2020-02-12,"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",Hacking,5,7.225353141086213,125.46259557394754,2020-02,2020,2
1191,2020-02-13,SALUMAY,Physical Injury,3,7.020205180440631,125.49965175661852,2020-02,2020,2
3122,2020-02-13,LIZADA,Physical Injury,1,7.074267931083966,125.4367444250551,2020-02,2020,2
2645,2020-02-13,"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",Robbery,1,7.014455803717989,125.48030053115828,2020-02,2020,2
995,2020-02-13,SUAWAN (TULI),Online Scam,5,7.108292169082008,125.4205322127728,2020-02,2020,2
1574,2020-02-15,TUNGKALAN,Robbery,5,7.258839123262969,125.59389298009722,2020-02,2020,2
1424,2020-02-16,NEW VALENCIA,Online Scam,3,7.044502960288627,125.52333402509846,2020-02,2020,2
2725,2020-02-16,BAYABAS,Online Scam,5,7.119401587886351,125.57881917933018,2020-02,2020,2
981,2020-02-16,BAGANIHAN,Hacking,2,7.1002731672450885,125.69318514695308,2020-02,2020,2
2767,2020-02-16,CATALUNAN GRANDE,Robbery,2,7.158897917183686,125.6925261509123,2020-02,2020,2
3862,2020-02-18,SANTO NINO,Homicide,5,7.183549306030966,125.45943922254708,2020-02,2020,2
1870,2020-02-18,SALAPAWAN,Assault,1,7.217793972995588,125.57652937213604,2020-02,2020,2
942,2020-02-19,MAPI-ILA,Carnapping,2,7.166253400754738,125.53010829939612,2020-02,2020,2
525,2020-02-19,"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",Cyberbullying,2,7.251498611413341,125.64304832698792,2020-02,2020,2
3216,2020-02-19,BARANGAY 37-D,Homicide,1,7.035265390045066,125.5834967026938,2020-02,2020,2
2508,2020-02-19,ULAS,Assault,5,7.131744944990125,125.67454164612148,2020-02,2020,2
1416,2020-02-20,TACUNAN,Carnapping,1,7.280981707688488,125.51588631154368,2020-02,2020,2
475,2020-02-20,FATIMA (BENOWANG),Assault,1,7.15831033272589,125.60076570897746,2020-02,2020,2
265,2020-02-21,GUMALANG,Hacking,2,7.263211921578386,125.59790708187914,2020-02,2020,2
3915,2020-02-21,CATALUNAN GRANDE,Homicide,5,7.289724162945924,125.40070424216024,2020-02,2020,2
2705,2020-02-22,"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",Robbery,5,7.231047463527129,125.53780380305186,2020-02,2020,2
2439,2020-02-22,SASA,Physical Injury,3,7.162422282204275,125.43784129740484,2020-02,2020,2
951,2020-02-22,ULAS,Assault,2,7.180155058130096,125.51851600135704,2020-02,2020,2
1089,2020-02-22,TORII (POB.),Assault,4,7.297350587841093,125.57304237589148,2020-02,2020,2
2034,2020-02-23,"MANDUG (BRGY UNDER PS 13, DCPO)",Illegal Drugs,2,7.291601598889461,125.47010713464762,2020-02,2020,2
877,2020-02-23,"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",Online Scam,5,7.214791668654219,125.58028364536132,2020-02,2020,2
2735,2020-02-23,BARANGAY 3-A (POB.),Physical Injury,2,7.2828172957282336,125.44829532950622,2020-02,2020,2
2026,2020-02-23,BARANGAY 38-D (OB.),Cyberbullying,3,7.078047337288616,125.4788086431006,2020-02,2020,2
3427,2020-02-23,"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",Homicide,2,7.169018605213792,125.4301859931668,2020-02,2020,2
3623,2020-02-24,"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",Carnapping,2,7.065462260365652,125.44717069952829,2020-02,2020,2
3177,2020-02-24,TAMBOBONG,Hacking,5,7.19926581549669,125.69750584211782,2020-02,2020,2
203,2020-02-25,BINUGAO,Vandalism,4,7.0484886142283845,125.43766493696955,2020-02,2020,2
21,2020-02-25,COMMUNAL,Phishing,3,7.183555868416714,125.52339119161988,2020-02,2020,2
1365,2020-02-25,BUHANGIN (POB.),Murder,4,7.219933906724584,125.55455010851598,2020-02,2020,2
3305,2020-02-25,"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",Physical Injury,1,7.066033397771426,125.4121757136404,2020-02,2020,2
68,2020-02-25,TIGATTO,Online Scam,3,7.240659094226212,125.6937454665302,2020-02,2020,2
3863,2020-02-27,COMMUNAL,Murder,1,7.112037383539811,125.40276026928764,2020-02,2020,2
245,2020-02-27,BARANGAY 5-A (POB.),Identity Theft,2,7.00463698495866,125.5236839183495,2020-02,2020,2
2042,2020-02-28,BUDA,Hacking,5,7.168366836484758,125.43813314726012,2020-02,2020,2
2666,2020-02-28,BARANGAY 22-C,Illegal Drugs,1,7.08859044327155,125.62703676687072,2020-02,2020,2
1077,2020-02-29,"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",Carnapping,3,7.115297994147904,125.5842558732957,2020-02,2020,2
1291,2020-03-01,"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",Assault,4,7.119076982860479,125.48454750098864,2020-03,2020,3
1277,2020-03-01,"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",Murder,1,7.072613504758758,125.44985549988291,2020-03,2020,3
517,2020-03-01,TIGATTO,Physical Injury,1,7.112939010063415,125.55641310644212,2020-03,2020,3
2305,2020-03-01,"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",Illegal Drugs,2,7.279526115829845,125.51470899931849,2020-03,2020,3
406,2020-03-02,TAPAK,Assault,3,7.26865696854886,125.6052942746776,2020-03,2020,3
639,2020-03-02,TORII (POB.),Identity Theft,2,7.080772969284814,125.625547543787,2020-03,2020,3
3667,2020-03-02,GUMALANG,Assault,3,7.251754118494089,125.59284061504864,2020-03,2020,3
3821,2020-03-04,BARANGAY 2-A (POB.),Online Scam,3,7.105245732800505,125.50632719759622,2020-03,2020,3
1218,2020-03-04,RIVERSIDE,Physical Injury,1,7.204149790622414,125.62271098112694,2020-03,2020,3
2893,2020-03-05,"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",Robbery,3,7.231336844755566,125.67900161333732,2020-03,2020,3
704,2020-03-05,"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",Murder,3,7.0403244030816925,125.57860991104708,2020-03,2020,3
569,2020-03-06,SANTO NINO,Murder,1,7.271247608348125,125.44143758794208,2020-03,2020,3
1901,2020-03-07,CARMEN,Theft,1,7.166267954239605,125.58946331360283,2020-03,2020,3
3974,2020-03-07,BARANGAY 11-A,Illegal Drugs,5,7.212831659390193,125.6717548169998,2020-03,2020,3
1167,2020-03-07,BUDA,Carnapping,1,7.249640253387322,125.46272920937687,2020-03,2020,3
3727,2020-03-07,"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",Cyberbullying,2,7.018542538206767,125.42883775551964,2020-03,2020,3
2734,2020-03-08,SUBASTA,Theft,5,7.287336940296461,125.50337897871808,2020-03,2020,3
2080,2020-03-08,TACUNAN,Physical Injury,4,7.231603742892997,125.50696767635309,2020-03,2020,3
3827,2020-03-09,MABUHAY,Murder,2,7.140007936265323,125.68322843577911,2020-03,2020,3
1007,2020-03-09,76-A (BUCANA),Assault,1,7.207682969355355,125.6330395311626,2020-03,2020,3
1516,2020-03-09,PAMPANGA,Carnapping,4,7.002268862493443,125.63276317634092,2020-03,2020,3
2544,2020-03-09,"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",Carnapping,2,7.184081234271237,125.48057967987438,2020-03,2020,3
2564,2020-03-10,BUHANGIN (POB.),Carnapping,3,7.021870550610371,125.57308083700346,2020-03,2020,3
3095,2020-03-10,BARANGAY 17-B,Illegal Drugs,4,7.056562181724775,125.50701695079267,2020-03,2020,3
3148,2020-03-11,MARAPANGI,Assault,4,7.199938914258051,125.46571775191796,2020-03,2020,3
3921,2020-03-11,MULIG,Cyberbullying,2,7.284026873407672,125.59435111158248,2020-03,2020,3
1436,2020-03-11,"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",Physical Injury,3,7.008992076961803,125.62187435316652,2020-03,2020,3
328,2020-03-12,BARANGAY 18-B,Assault,3,7.183516223870305,125.6947563816768,2020-03,2020,3
2231,2020-03-12,"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",Identity Theft,4,7.222957959619481,125.57356917968382,2020-03,2020,3
2852,2020-03-13,BARANGAY 23-C,Illegal Drugs,2,7.072119673868052,125.67944711607568,2020-03,2020,3
1514,2020-03-13,"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",Robbery,5,7.005469774802909,125.61228617572216,2020-03,2020,3
45,2020-03-13,76-A BUCANA,Hacking,1,7.077633994480005,125.52335714276086,2020-03,2020,3
3128,2020-03-14,BUNAWAN (POB.),Carnapping,2,7.024344753560872,125.48344309213468,2020-03,2020,3
3709,2020-03-15,BAGUIO PROPER,Hacking,3,7.08448481263169,125.56121375713316,2020-03,2020,3
339,2020-03-15,MAPI-ILA,Carnapping,1,7.142252148726198,125.5149646097842,2020-03,2020,3
1543,2020-03-16,LIZADA,Assault,4,7.170193665888671,125.66039987756854,2020-03,2020,3
2307,2020-03-16,"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",Online Scam,3,7.026127830038732,125.51285714063089,2020-03,2020,3
1446,2020-03-16,BARANGAY 27-C,Carnapping,1,7.053144936834216,125.45972802598078,2020-03,2020,3
2388,2020-03-16,76-A (BUCANA),Illegal Drugs,2,7.18032225004007,125.62279079690452,2020-03,2020,3
3553,2020-03-16,SANTO NINO,Robbery,4,7.1742097253662855,125.5985909518352,2020-03,2020,3
3166,2020-03-17,"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",Carnapping,2,7.14732871881495,125.41558982943936,2020-03,2020,3
1622,2020-03-18,DALIAO,Illegal Drugs,2,7.018042702780235,125.6733361504176,2020-03,2020,3
2801,2020-03-18,SAN ISIDRO,Hacking,1,7.237778534886515,125.41712972353356,2020-03,2020,3
215,2020-03-18,"MAA (BRGY IS NOW UNDER ps 16, DCPO)",Illegal Drugs,3,7.213653766404261,125.59133224255368,2020-03,2020,3
3677,2020-03-19,MARAPANGI,Assault,2,7.052048815106507,125.62479460654274,2020-03,2020,3
3639,2020-03-19,BARANGAY 32-D,Murder,2,7.0874382740481385,125.41689998333976,2020-03,2020,3
1211,2020-03-19,SALAPAWAN,Cyberbullying,5,7.127854390670792,125.68430585311928,2020-03,2020,3
2501,2020-03-20,BARANGAY 38-D (OB.),Illegal Drugs,3,7.24825567663189,125.46035256968666,2020-03,2020,3
1773,2020-03-20,TALOMO (POB.),Theft,5,7.26762540668207,125.47714570533272,2020-03,2020,3
2141,2020-03-21,CALINAN (POB.),Hacking,5,7.245719054158497,125.53991237835136,2020-03,2020,3
853,2020-03-23,BARANGAY 13-B,Illegal Drugs,4,7.062971677928676,125.63257036166972,2020-03,2020,3
1397,2020-03-23,SASA,Murder,1,7.129266257098542,125.42773485511113,2020-03,2020,3
3342,2020-03-24,CARMEN,Theft,2,7.173642026353582,125.51888317874752,2020-03,2020,3
3968,2020-03-25,"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",Vandalism,3,7.012077400902769,125.40983996228309,2020-03,2020,3
1005,2020-03-25,"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",Carnapping,5,7.241968344358435,125.66089490544366,2020-03,2020,3
749,2020-03-26,"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",Assault,4,7.271941633289364,125.51754326838515,2020-03,2020,3
2294,2020-03-26,"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",Murder,1,7.154971788533794,125.49591625480195,2020-03,2020,3
542,2020-03-26,TAPAK,Online Scam,2,7.181852390335264,125.5554232494121,2020-03,2020,3
875,2020-03-26,"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",Physical Injury,1,7.007615906698104,125.48996927789835,2020-03,2020,3
2464,2020-03-27,TORII (POB.),Hacking,4,7.1708132083546845,125.4804141562136,2020-03,2020,3
2187,2020-03-27,SIRIB,Vandalism,4,7.261361344678916,125.6364105448725,2020-03,2020,3
2081,2020-03-28,SALAPAWAN,Murder,4,7.008150226367668,125.5341908268758,2020-03,2020,3
3267,2020-03-28,ALFONSO ANGLIONGTO SR,Assault,5,7.142276506293086,125.45744688447245,2020-03,2020,3
3269,2020-03-28,SALUMAY,Phishing,5,7.188527936984376,125.54545762191484,2020-03,2020,3
175,2020-03-30,SANTO NINO,Carnapping,2,7.193551837122834,125.66208555862116,2020-03,2020,3
2583,2020-03-31,LAMANAN,Homicide,2,7.150925185233951,125.62186897443338,2020-03,2020,3
154,2020-04-01,BARANGAY 11-A,Theft,2,7.146835828083269,125.50697885279588,2020-04,2020,4
2445,2020-04-02,WINES,Homicide,2,7.132132405093727,125.57858305233124,2020-04,2020,4
1266,2020-04-04,BARANGAY 32-D,Murder,4,7.021734066338368,125.55378457323096,2020-04,2020,4
2025,2020-04-05,BARANGAY 23-C,Physical Injury,5,7.125637995722248,125.42721626482437,2020-04,2020,4
1267,2020-04-05,SUAWAN (TULI),Cyberbullying,4,7.1177480669220055,125.48726305626948,2020-04,2020,4
1711,2020-04-06,74-A (MATINA CROSSING),Robbery,5,7.045607455938595,125.45062483151948,2020-04,2020,4
2049,2020-04-06,BARANGAY 28-C,Robbery,4,7.1630614652027935,125.64438751680778,2020-04,2020,4
2060,2020-04-08,"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",Online Scam,5,7.163629560822072,125.64958246250642,2020-04,2020,4
648,2020-04-09,"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",Carnapping,5,7.203730695743347,125.47569442084055,2020-04,2020,4
1616,2020-04-09,"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",Carnapping,3,7.200846086559457,125.6516518010296,2020-04,2020,4
2676,2020-04-10,CALINAN (POB.),Robbery,2,7.086222878939674,125.65762349055888,2020-04,2020,4
3711,2020-04-11,BARANGAY 27-C,Phishing,5,7.003085348780708,125.41002795992796,2020-04,2020,4
975,2020-04-11,BAO JOAQUIN,Cyber Fraud,5,7.009354940518385,125.47565186324866,2020-04,2020,4
438,2020-04-12,TACUNAN,Theft,3,7.246558017787107,125.63472774366384,2020-04,2020,4
1059,2020-04-12,ULAS,Identity Theft,3,7.1439626860911725,125.56745135516714,2020-04,2020,4
2623,2020-04-12,BAYABAS,Vandalism,3,7.130145225872959,125.5455218727428,2020-04,2020,4
3210,2020-04-13,TORII (POB.),Online Scam,4,7.183164026504628,125.63839886771936,2020-04,2020,4
3164,2020-04-13,MAHAYAG,Cyberbullying,5,7.150789372789039,125.6097938763466,2020-04,2020,4
1017,2020-04-13,TAMAYONG,Vandalism,2,7.0541726035382,125.41244919765298,2020-04,2020,4
3657,2020-04-14,"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",Vandalism,1,7.102123466834278,125.6148976030428,2020-04,2020,4
